1,1905,861,79,293
2,1899,879,91,272
3,1906,870,83,275
4,1909,867,85,285
5,1910,864,85,284
6,1917,861,78,292
7,1917,858,82,299
8,1919,860,83,298
9,1923,859,84,306
10,1923,855,86,304
11,1926,859,88,310
12,1930,856,84,317
13,1933,856,86,320
14,1938,855,83,325
15,1938,857,92,330
16,1938,855,96,327
17,1947,853,89,329
18,1946,853,98,332
19,1953,851,94,332
20,1954,850,102,335
21,1958,858,103,325
22,1959,849,107,335
23,1962,850,108,329
24,1958,855,126,333
25,1963,846,134,336
26,1965,846,122,342
27,1966,845,140,356
28,1974,845,129,357
29,1978,844,129,364
30,1985,842,118,363
31,1986,849,126,364
32,1986,845,129,362
33,1993,844,126,369
34,1999,839,119,394
35,2001,838,120,388
36,2004,836,117,399
37,2012,832,114,401
38,2015,827,109,409
39,2022,826,107,418
40,2018,824,118,415
41,2028,818,108,421
42,2031,820,109,430
43,2033,817,115,426
44,2038,811,115,432
45,2046,809,105,457
46,2041,815,118,446
47,2050,816,120,456
48,2044,811,131,453
49,2054,811,129,461
50,2054,813,132,460
51,2057,807,139,466
52,2068,809,135,469
53,2068,810,136,473
54,2076,806,137,482
55,2083,805,132,492
56,2091,806,133,486
57,2090,803,141,493
58,2098,789,133,515
59,2094,787,158,510
60,2101,806,170,486
61,2109,814,165,477
62,2109,785,169,500
63,2120,805,155,495
64,2132,781,143,514
65,2139,783,145,514
66,2137,797,155,523
67,2141,804,163,528
68,2152,784,147,565
69,2155,762,156,599
70,2159,762,160,607
71,2164,745,158,627
72,2170,736,171,648
73,2173,732,168,662
74,2185,708,153,690
75,2188,718,166,685
76,2190,714,164,681
77,2198,713,167,687
78,2205,716,163,677
79,2211,714,169,681
80,2220,710,173,684
81,2232,709,166,682
82,2229,711,181,689
83,2238,707,179,692
84,2230,712,203,692
85,2235,705,206,717
86,2251,693,204,738
87,2252,694,215,752
88,2252,688,234,762
89,2263,683,223,740
90,2266,702,233,719
91,2275,682,242,775
92,2279,698,251,744
93,2296,694,248,772
94,2306,681,264,809
95,2321,676,272,834
96,2334,664,273,845
97,2354,661,271,850
98,2359,676,267,837
99,2382,664,258,846
100,2392,648,261,864
101,2399,615,273,899
102,2420,626,267,883
103,2424,634,270,897
104,2447,628,257,928
105,2452,618,267,966
106,2473,610,271,992
107,2494,595,272,1011
108,2497,573,292,1037
109,2514,564,309,1040
110,2522,561,326,1043
111,2536,560,321,1050
112,2542,544,330,1068
113,2550,583,346,1030
114,2569,596,354,1016
115,2579,601,358,1012
116,2607,606,363,1010
117,2621,596,375,1017
118,2625,583,406,1024
119,2662,578,377,1040
120,2703,588,367,1023
121,2728,581,359,1020
122,2763,569,353,1033
123,2764,572,387,1037
124,2805,577,382,1026
125,2831,581,396,1014
126,2837,588,418,1009
127,2889,576,391,1015
128,2905,578,411,1007
129,2940,582,421,996
130,2947,588,450,971
131,2981,590,444,959
132,3051,576,392,969
133,3070,579,401,973
134,3091,591,413,940
135,nan,nan,nan,nan
136,3190,595,371,901
137,3234,593,357,913
138,3248,587,364,927
