1,3672,823,60,141
2,3674,788,60,140
3,3670,784,59,141
4,3663,761,59,139
5,3662,761,60,139
6,3654,759,60,141
7,3649,750,59,139
8,3644,742,60,141
9,3640,788,60,140
10,3640,788,60,140
11,3646,764,60,140
12,3641,737,60,141
13,3637,773,61,142
14,3634,795,60,141
15,3634,795,60,141
16,3629,776,59,140
17,3617,776,59,140
18,3612,775,59,140
19,3626,794,35,82
20,3626,794,35,82
21,3629,824,34,81
22,3629,838,34,80
23,3629,822,34,79
24,3624,783,34,79
25,3624,783,34,79
26,3612,781,35,81
27,3609,805,35,81
28,3612,808,34,81
29,3342,737,29,67
30,3345,739,24,56
31,3622,787,35,82
32,3615,767,36,83
33,3612,771,35,83
34,3607,767,34,81
35,3607,767,34,81
36,3607,774,34,81
37,3603,754,34,81
38,3599,744,34,81
39,3594,747,35,82
40,3594,747,35,82
41,3593,759,35,82
42,3594,775,35,81
43,3592,785,35,81
44,3602,796,24,57
45,3604,796,24,57
46,3600,780,20,47
47,3597,787,24,56
48,3594,774,24,56
49,3590,758,24,56
50,3590,758,24,56
51,3587,768,24,57
52,119,808,20,47
53,117,812,19,45
54,113,816,20,47
55,113,816,20,47
56,105,828,20,47
57,97,818,20,48
58,3553,825,24,57
59,3550,837,24,57
60,3553,840,24,56
61,3552,830,24,57
62,3558,840,24,56
63,3547,815,35,81
64,1429,960,24,56
65,1429,959,24,57
66,1424,927,29,68
67,1417,917,31,72
68,85,840,29,68
69,2982,696,20,47
70,2982,696,20,47
71,2996,692,20,47
72,103,854,24,56
73,106,864,24,56
74,2246,384,20,47
75,2246,384,20,47
76,1403,868,24,57
77,1402,912,20,47
78,1404,869,28,68
79,1377,840,29,68
80,1377,840,29,68
81,1366,840,20,47
82,1354,828,20,47
83,1345,820,21,49
84,1336,816,24,56
85,1329,787,35,82
86,1319,811,24,56
87,1292,787,34,82
88,1274,800,20,47
89,1306,787,34,82
90,1306,787,34,82
91,1290,770,35,83
92,1270,738,42,97
93,1250,722,41,96
94,1233,713,42,98
95,1235,771,29,68
96,1219,762,29,68
97,1204,753,29,68
98,1194,748,29,70
99,282,836,50,117
100,275,824,60,140
101,1174,663,42,98
102,1160,691,29,67
103,1137,673,31,73
104,1111,656,35,81
105,1111,656,35,81
106,1100,657,34,81
107,1092,656,34,80
108,1088,662,29,68
109,1073,662,24,56
110,1073,662,24,56
111,1680,1228,24,57
112,1678,1220,25,57
113,1674,1225,25,59
114,1666,1235,25,60
115,1666,1235,25,60
116,1661,1248,24,56
117,1654,1257,24,57
118,19,782,24,56
119,13,806,24,56
120,110,858,29,67
121,112,855,28,68
122,120,840,24,56
123,120,818,26,61
124,121,804,20,47
125,120,803,21,48
126,119,788,20,47
127,3732,817,29,68
128,3736,817,28,67
129,98,792,24,56
130,98,791,24,57
131,3741,829,29,68
132,89,796,24,57
133,79,789,29,67
134,77,781,29,69
135,77,781,29,69
136,76,752,30,70
137,74,748,24,57
138,67,758,24,56
139,67,748,24,57
140,67,748,24,57
141,67,756,20,47
142,62,744,24,56
143,65,715,24,56
144,60,720,24,56
145,60,720,24,56
146,60,710,24,56
147,54,710,26,59
148,197,777,24,57
149,181,767,29,69
150,181,767,29,69
151,169,760,28,67
152,3708,754,29,68
153,3702,743,29,67
154,3698,764,29,68
155,3698,764,29,68
156,3697,791,28,67
157,3833,763,41,97
158,3832,754,40,96
159,3831,738,39,96
160,3831,738,39,96
161,3830,733,40,95
162,3830,727,41,98
163,83,731,29,68
164,68,746,34,81
165,3829,737,28,67
166,3825,762,28,69
167,3824,776,19,47
168,3819,753,21,49
169,49,744,20,47
170,49,744,20,47
171,3806,725,28,68
172,3797,748,29,68
173,11,836,20,47
174,10,812,20,46
175,10,812,20,46
176,1510,539,35,81
177,3788,748,29,68
178,3788,747,29,68
179,3792,749,29,68
180,3792,749,29,68
181,109,780,20,47
182,3795,746,34,81
183,3795,747,35,81
184,107,784,20,47
185,107,783,20,47
186,1416,392,20,47
187,111,788,20,47
188,3806,766,28,67
189,3807,777,24,57
190,3807,777,24,57
191,3807,790,24,56
192,3803,777,29,68
193,3803,771,29,68
194,3803,754,29,68
195,3803,754,29,68
196,3800,748,29,68
197,3798,746,28,68
198,3795,752,29,68
199,3792,758,28,68
200,3792,758,28,68
201,3788,771,29,68
202,69,806,24,56
203,3786,754,28,68
204,3780,772,20,47
205,3780,776,20,47
206,403,182,41,97
207,3776,788,20,47
208,3775,777,20,47
209,37,780,20,47
210,3774,764,20,47
211,3800,753,24,57
212,3798,758,25,58
213,3797,768,24,56
214,3802,748,24,57
215,3802,748,24,57
216,3800,746,24,57
217,3796,756,25,57
218,3794,765,24,57
219,3791,772,24,57
220,3791,772,24,57
221,3674,808,20,47
222,1629,823,29,68
223,3780,782,24,56
224,1628,820,24,57
225,1628,820,24,57
226,3780,782,24,56
227,1628,824,20,47
228,1630,824,20,47
229,1608,1088,20,47
230,1608,1088,20,47
231,1630,812,20,47
232,1601,1080,24,56
233,3795,763,24,56
234,3798,757,24,56
235,3798,757,24,56
236,3799,749,23,56
237,3799,751,24,55
238,3801,743,24,56
239,3802,744,24,56
240,3802,744,24,56
241,3696,776,20,47
242,3695,781,20,48
243,3797,748,24,57
244,3694,788,20,47
245,3694,788,20,47
246,3692,792,20,47
247,3689,787,19,46
248,3687,790,20,47
249,3685,792,20,47
250,3685,792,20,47
251,3778,764,20,47
252,3772,768,20,47
253,3768,765,20,46
254,3763,770,20,47
255,3763,770,20,47
256,3761,770,20,46
257,3758,771,20,46
258,3757,771,19,46
259,3754,764,20,47
260,3754,764,20,47
261,3752,763,20,47
262,3751,757,20,47
263,3751,761,20,46
264,3750,772,20,47
265,3750,772,20,47
266,3742,768,20,47
267,3738,776,20,47
268,3740,780,20,47
269,3738,776,20,47
270,3737,775,21,48
271,3434,796,20,47
272,3732,768,20,47
273,3729,761,20,48
274,3728,774,20,46
275,3728,774,20,46
276,3727,772,19,47
277,3726,769,20,46
278,3728,772,20,47
279,3725,765,21,47
280,3725,765,21,47
281,2259,475,24,56
282,3771,777,29,68
283,1867,1319,29,67
284,525,1324,20,47
285,524,1323,21,48
286,1642,1123,28,67
287,1640,1123,30,68
288,1564,836,20,47
289,1560,832,20,47
290,1560,832,20,47
291,1116,704,20,47
292,1550,820,20,47
293,3764,768,20,47
294,2072,960,20,47
295,2072,964,20,47
296,2070,960,20,47
297,1652,1152,20,47
298,1647,1141,21,47
299,1642,1143,20,47
300,1552,648,20,47
301,1542,646,21,48
302,1586,1113,24,57
303,1584,1103,25,57
304,1580,1105,25,57
305,3720,764,20,47
306,3719,767,19,46
307,1959,1025,29,67
308,1431,1093,103,243
309,3760,824,20,47
310,3758,824,20,47
311,3756,820,20,47
312,3751,812,20,47
313,1460,696,20,47
314,1852,608,20,47
315,1852,608,20,47
316,1858,596,18,44
317,2032,888,20,47
318,1546,1088,29,68
319,1544,1090,28,66
320,1544,1090,28,66
321,1600,1152,20,47
322,1420,484,20,47
323,2054,876,20,47
324,1868,1035,50,117
325,1868,1035,50,117
326,1869,1023,50,117
327,2124,480,24,56
328,1851,1347,29,68
329,1853,1359,30,69
330,1853,1359,30,69
331,1851,1370,29,68
332,1416,1164,20,47
333,1412,1168,20,47
334,1519,859,24,56
335,1519,859,24,56
336,1515,851,25,57
337,1320,499,24,56
338,1507,825,24,57
339,1855,1334,34,81
340,1855,1334,34,81
341,1856,1329,35,82
342,1857,1339,35,84
343,1490,806,24,56
344,1560,1116,20,47
345,1560,1116,20,47
346,1558,1100,20,47
347,3674,777,24,57
348,3674,775,24,56
349,3674,771,23,55
350,3674,771,23,55
351,3673,755,24,56
352,3671,750,24,55
353,3672,768,24,56
354,1554,1072,20,47
355,1554,1072,20,47
356,1554,1064,20,47
357,1879,1334,34,81
358,1987,720,24,56
359,1552,1060,20,47
360,1552,1060,20,47
361,1456,716,20,47
362,1887,1318,42,98
363,2459,380,29,67
364,2458,359,34,81
365,2458,359,34,81
366,2500,368,29,68
367,2611,758,24,56
368,2616,763,24,56
369,2624,772,20,47
370,2624,772,20,47
371,2627,766,22,51
372,2623,757,22,52
373,3681,739,35,81
374,1536,940,24,57
375,1536,940,24,57
376,1388,508,20,47
377,1379,498,21,47
378,1368,470,24,56
379,1358,459,25,60
380,1548,1104,24,56
381,1550,1094,25,58
382,1553,1086,24,58
383,1342,422,24,56
384,1548,1118,24,56
385,1548,1118,24,56
386,1544,1128,24,58
387,1541,1126,25,59
388,1540,1118,25,60
389,1538,1054,29,67
390,1538,1054,29,67
391,1534,1085,34,81
392,1536,1060,24,57
393,1532,1053,26,59
394,1530,1042,28,68
395,1530,1042,28,68
396,1520,1085,34,81
397,1530,1032,20,47
398,1490,764,20,47
399,1526,1012,24,57
400,1526,1012,24,57
401,1527,1007,23,56
402,1526,1005,23,56
403,1524,996,29,68
404,1522,995,29,68
405,1522,995,29,68
406,1518,979,29,67
407,2074,998,24,56
408,1501,1045,50,117
409,3652,768,20,47
410,1408,988,20,47
411,1416,753,24,57
412,1488,1061,41,98
413,1488,1094,24,56
414,1484,1093,25,58
415,1483,1094,24,56
416,2592,716,20,47
417,2597,712,20,48
418,2610,712,20,47
419,2610,704,20,47
420,2610,704,20,47
421,2628,700,24,57
422,2638,712,20,47
423,2633,707,19,46
424,2610,292,20,47
425,2610,292,20,47
426,2964,788,20,47
427,2963,784,20,46
428,2606,552,29,68
429,1830,288,20,47
430,1830,288,20,47
431,3598,776,20,47
432,1258,552,20,47
433,1248,904,20,47
434,2890,388,24,57
435,1858,912,20,47
436,3796,720,20,47
437,1886,720,24,56
438,1888,714,24,57
439,1893,707,24,57
440,1894,705,24,57
441,1895,703,25,57
442,1904,696,20,47
443,230,877,34,82
444,1875,945,72,169
445,1875,945,72,169
446,1875,945,72,169
447,1883,945,71,169
448,1894,840,20,47
449,2166,848,20,47
450,2166,848,20,47
451,1904,832,20,47
452,1901,828,20,47
453,1900,824,20,47
454,1899,819,21,48
455,1899,819,21,48
456,1914,700,20,47
457,3570,804,20,47
458,1857,1002,34,81
459,1854,996,36,85
460,1853,987,42,97
461,1849,988,44,103
462,1764,1204,20,47
463,1762,1203,20,47
464,1759,1199,20,47
465,1759,1199,20,47
466,1758,1187,20,47
467,1757,1184,20,47
468,1754,1192,20,47
469,1932,662,24,56
470,1932,662,24,56
471,1940,653,24,56
472,1948,643,24,56
473,1958,628,24,57
474,1910,536,20,47
475,1908,537,24,57
476,1920,512,20,47
477,1919,512,28,68
478,1918,508,27,65
479,3180,412,20,47
480,3179,411,21,48
481,3174,412,20,47
482,3177,542,24,56
483,3175,542,24,56
484,3166,400,20,47
485,3166,400,20,47
486,3160,400,20,47
487,3170,561,24,57
488,3172,420,20,47
489,3168,416,19,46
490,3168,416,19,46
491,3462,808,20,47
492,3455,812,20,47
493,3449,814,20,47
494,3444,812,20,47
495,3444,812,20,47
496,3440,817,20,46
