1,1905,861,79,293
2,1893,865,80,297
3,1925,839,78,296
4,1901,838,78,297
5,1903,838,79,297
6,1909,839,78,296
7,1911,839,80,296
8,1914,837,80,300
9,1911,803,96,352
10,1914,803,96,352
11,1917,802,95,355
12,1919,802,96,355
13,1933,865,78,297
14,1935,865,80,297
15,1941,865,78,296
16,1943,864,80,297
17,1991,860,54,205
18,1937,816,114,416
19,1938,815,115,418
20,1937,780,113,417
21,1937,780,113,417
22,1937,780,113,417
23,1939,779,114,418
24,1941,779,115,418
25,1947,781,114,415
26,1950,779,113,419
27,1953,780,113,417
28,1947,781,114,415
29,1950,779,113,419
30,2237,908,49,217
31,2017,878,66,247
32,2024,878,66,247
33,2028,877,66,250
34,2033,866,79,294
35,2037,863,79,296
36,2040,862,80,299
37,2052,840,78,293
38,2026,865,95,350
39,2029,863,95,354
40,2035,866,95,349
41,2052,866,79,294
42,2052,866,79,294
43,2055,835,92,349
44,2054,835,95,350
45,2064,866,94,348
46,2074,835,92,349
47,2077,835,94,349
48,2082,836,95,351
49,2073,835,95,350
50,2102,806,92,346
51,2107,804,93,350
52,2055,865,94,351
53,2206,931,88,329
54,1997,812,95,352
55,1998,811,96,355
56,2058,825,114,417
57,2058,825,114,417
58,2074,906,95,348
59,2149,824,93,346
60,2147,871,112,411
61,2150,870,113,411
62,2118,850,140,487
63,2178,841,92,347
64,2177,840,94,349
65,2097,870,67,248
66,2177,832,94,348
67,2177,832,94,348
68,2184,831,94,351
69,2168,773,113,413
70,2207,823,92,348
71,2213,820,94,354
72,2218,817,96,359
73,2175,719,136,486
74,2190,711,133,485
75,2190,824,136,485
76,2194,820,139,493
77,2256,802,109,407
78,2285,768,107,404
79,2293,765,108,407
80,2300,761,109,409
81,2307,760,110,409
82,2314,759,111,411
83,2323,760,110,408
84,2332,758,110,409
85,2287,763,164,573
86,2140,697,197,671
87,2137,692,200,682
88,2152,928,32,124
89,2155,928,33,125
90,2159,928,33,126
91,2162,928,32,126
92,2166,928,33,126
93,2169,928,32,126
94,2173,931,32,124
95,2177,932,32,126
96,2179,933,35,128
97,2183,935,35,129
98,2188,935,34,130
99,2172,932,58,214
100,2176,930,57,217
101,2179,929,58,218
102,2183,928,58,219
103,2212,945,28,105
104,2098,951,31,122
105,2101,951,32,123
106,2175,915,84,306
107,2178,912,85,310
108,2111,973,27,104
109,2117,963,27,105
110,2122,963,28,105
111,2125,954,27,104
112,2129,952,28,106
113,2131,944,27,105
114,2135,943,27,106
115,2228,915,68,257
116,2232,913,70,261
117,2237,911,71,265
118,2247,915,69,256
119,2253,912,70,260
120,2261,915,69,256
121,2267,912,68,260
122,2271,908,71,264
123,2276,907,71,265
124,2259,905,82,306
125,2266,905,83,306
126,2272,904,82,308
127,2277,903,84,312
128,2283,906,82,304
129,2289,907,83,307
130,2294,906,82,304
131,2298,906,83,310
132,2303,904,85,318
133,2310,903,86,322
134,2295,791,117,429
135,2302,790,117,431
136,2171,933,84,305
137,2174,933,82,304
138,2176,934,83,303
139,2152,937,40,149
140,2331,846,116,425
141,2339,846,116,426
142,2344,844,119,431
143,2351,729,138,498
144,2358,726,140,507
145,2366,725,140,512
146,2375,681,165,588
147,2193,929,32,123
148,2199,928,32,125
149,2179,928,38,149
150,2184,928,39,149
151,2183,928,40,150
152,2187,928,40,152
153,2190,925,41,156
154,2193,924,42,159
155,2199,941,39,151
156,2266,892,57,216
157,2269,892,57,217
158,2277,911,58,217
159,2537,873,112,444
160,2547,874,115,449
161,2230,846,68,256
162,2237,816,68,253
163,2240,815,66,253
164,2572,1251,29,91
165,2243,817,67,252
166,2228,808,81,303
167,2230,808,82,303
168,2233,808,80,304
169,2236,799,81,304
170,2238,799,80,303
171,2240,799,81,303
172,2242,799,82,303
173,2245,799,80,303
174,2246,799,82,303
175,2249,800,80,302
176,2250,798,82,304
177,2253,798,82,306
